Name,Value,Byte Offset,Type
vp_c1_data[178],"-1.91366E+23, 1.46492E-38, 7.90160E-38, 5.63108E+15",2848,float4
vp_c1_data[179],"9.62948E-33, -1.34006E+29, 7.31385E-38, 5.63135E+15",2864,float4
vp_c1_data[180],"-5.31795E+37, 1.23079E-31, 7.28981E-40, 2.42331E-38",2880,float4
vp_c1_data[181],"2.48136E-38, 5.63053E+15, 5.85108E-37, 1310996.50",2896,float4
vp_c1_data[182],"-5.31794E+37, 3.15082E-29, 4.96171E-38, 2.61279E+17",2912,float4
vp_c1_data[183],"6.32128E-37, 1311060.50, 3.65556E-38, 2.61279E+17",2928,float4
vp_c1_data[184],"-4.25455E+37, 2.68780E-39, 3.65542E-38, 2.61279E+17",2944,float4
vp_c1_data[185],"2.48122E-38, 5.63101E+15, 1.30960E-32, -1.34006E+29",2960,float4
vp_c1_data[186],"-5.31794E+37, 2.91721E-39, 3.65549E-38, 2.61279E+17",2976,float4
vp_c1_data[187],"2.48150E-38, 5.63046E+15, 2.77372E-38, 2.61279E+17",2992,float4
vp_c1_data[188],"-3.40809E+36, 4.80777E-34, 3.36190E-38, 5.63115E+15",3008,float4
vp_c1_data[189],"3.36175E-38, 5.63122E+15, 4.96243E-38, 6.08340E+07",3024,float4
vp_c1_data[190],"-5.31794E+37, 2.91730E-39, 3.36183E-38, 5.63129E+15",3040,float4
vp_c1_data[191],"3.65671E-38, 6.08340E+07, 2.48122E-38, 6.08340E+07",3056,float4
vp_c1_data[192],"-3.32371E+36, 4.80824E-34, 3.94908E-38, 2.61279E+17",3072,float4
vp_c1_data[193],"3.65542E-38, 2.61279E+17, 5.54903E-38, 1311109.00",3088,float4
vp_c1_data[194],"-5.38440E+37, 2.91721E-39, 3.95001E-38, 1311125.00",3104,float4
vp_c1_data[195],"2.77451E-38, 1311141.00, 3.65548E-38, 2.61279E+17",3120,float4
vp_c1_data[196],"-3.98833E+36, 4.80777E-34, 3.36176E-38, 5.63149E+15",3136,float4
vp_c1_data[197],"6.13662E-38, 1311109.00, 4.24381E-38, 1311125.00",3152,float4
vp_c1_data[198],"-5.31794E+37, 2.92152E-39, 3.06831E-38, 1310965.00",3168,float4
vp_c1_data[199],"3.36183E-38, 5.62991E+15, 3.06810E-38, 5.63005E+15",3184,float4
vp_c1_data[200],"-3.32371E+36, 2.91722E-39, 3.36219E-38, 5.66396E+07",3200,float4
vp_c1_data[201],"4.24366E-38, 5.63067E+15, 4.53847E-38, 5.66396E+07",3216,float4
vp_c1_data[202],"nan, 2.91578E-39, 3.06817E-38, 5.63012E+15",3232,float4
vp_c1_data[203],"1.24028E-38, 2.43265E+17, 3.65556E-38, 2.61279E+17",3248,float4
vp_c1_data[204],"-8.50730E+37, 2.91578E-39, 1.67628E-30, -1.48861E+29",3264,float4
vp_c1_data[205],"1.82842E-38, 2.43265E+17, 1.98411E-37, 6.08339E+07",3280,float4
vp_c1_data[206],"-3.32315E+36, 3.15082E-29, 2.46514E-30, -1.48861E+29",3296,float4
vp_c1_data[207],"3.36190E-38, 5.63094E+15, 4.24359E-38, 5.62977E+15",3312,float4
vp_c1_data[208],"-4.25456E+37, 7.13160E-40, 5.58346E-38, 5.62991E+15",3328,float4
vp_c1_data[209],"2.21944E-37, 1310868.00, 9.86058E-30, -1.48861E+29",3344,float4
vp_c1_data[210],"-5.31794E+37, 2.89425E-39, 9.92054E-38, 6.08339E+07",3360,float4
vp_c1_data[211],"4.24374E-38, 5.63060E+15, 6.72308E-38, 5.66396E+07",3376,float4
vp_c1_data[212],"-8.50912E+37, 4.80730E-34, 3.06824E-38, 5.62998E+15",3392,float4
vp_c1_data[213],"2.13055E-38, 5.62977E+15, 2.92450E-37, 6.08339E+07",3408,float4
vp_c1_data[214],"-5.31703E+37, 4.80777E-34, 6.70514E-30, -1.48861E+29",3424,float4
vp_c1_data[215],"1.10972E-37, 1310868.00, 1.46225E-37, 6.08339E+07",3440,float4
vp_c1_data[216],"-4.25455E+37, 7.17554E-40, 2.33960E-36, 5.66724E+07",3456,float4
vp_c1_data[217],"2.52786E-36, 5.66724E+07, 2.68205E-29, -1.48861E+29",3472,float4
vp_c1_data[218],"4.61280E+18, 2.91578E-39, 8.08119E-39, 5.63060E+15",3488,float4
vp_c1_data[219],"3.94423E-29, -1.48861E+29, 1.09302E-38, 2.43265E+17",3504,float4
vp_c1_data[220],"-4.25365E+37, 3.45911E-40, 1.34103E-29, -1.48861E+29",3520,float4
vp_c1_data[221],"3.15983E-37, 1310932.00, 3.35256E-30, -1.48861E+29",3536,float4
vp_c1_data[222],"-3.32631E+36, 4.80871E-34, 1.57992E-37, 1310868.00",3552,float4
vp_c1_data[223],"2.45413E-37, 1310884.00, 1.22707E-37, 1310900.00",3568,float4
vp_c1_data[224],"-5.38440E+37, 2.93452E-39, 3.39453E-37, 1310788.00",3584,float4
vp_c1_data[225],"1.69726E-37, 1310820.00, 2.71562E-36, 5.66724E+07",3600,float4
vp_c1_data[226],"1.35558E-20, 2.91578E-39, 2.68952E-37, 5.66396E+07",3616,float4
vp_c1_data[227],"5.36410E-29, -1.48861E+29, 1.34479E-37, 5.66396E+07",3632,float4
vp_c1_data[228],"-4.25365E+37, 3.50123E-40, 2.04624E-34, -1.48861E+29",3648,float4
vp_c1_data[229],"3.62957E-37, 5.66396E+07, 1.02312E-34, -1.48861E+29",3664,float4
vp_c1_data[230],"1.35558E-20, 3.63037E-40, 1.81484E-37, 5.66396E+07",3680,float4
vp_c1_data[231],"3.00921E-34, -1.48861E+29, 1.50460E-34, -1.48861E+29",3696,float4
vp_c1_data[232],"-6.38237E+37, 2.91578E-39, 6.39470E-36, -8.85444E+20",3712,float4
vp_c1_data[233],"1.10937E-37, 7.97074E+07, 1.69715E-37, 6.08339E+07",3728,float4
vp_c1_data[234],"-1.27624E+38, 5.85738E-39, 6.52176E-39, 1.71799E+10",3744,float4
vp_c1_data[235],"1.10946E-37, 1310724.50, 6.52140E-39, 2.61279E+17",3760,float4
vp_c1_data[236],"-4.25445E+37, 2.93443E-39, 5.05455E-39, 3.78483E+17",3776,float4
vp_c1_data[237],"1.23989E-38, 2.43405E+17, 4.95913E-38, -8.85444E+20",3792,float4
vp_c1_data[238],"-1.27624E+38, 2.91578E-39, 6.52140E-39, 1.71799E+10",3808,float4
vp_c1_data[239],"5.05096E-39, 2.61279E+17, 7.28974E-40, 2.35156E-38",3824,float4
vp_c1_data[240],"-4.25445E+37, 2.64171E-39, 1.28730E-31, 9.23108E+07",3840,float4
vp_c1_data[241],"4.14075E-32, 7.97074E+07, 2.43599E-29, 4.14344E+17",3856,float4
