Name,Value,Byte Offset,Type
vp_c1_data[121],"-1.14356E-19, 0.00006, 1.04771E-31, -1.48861E+29",1936,float4
vp_c1_data[122],"-1.06341E+38, 2.93443E-39, 2.04624E-34, -1.48861E+29",1952,float4
vp_c1_data[123],"6.42869E-40, -6.14018E+29, 7.34705E-40, -2.36118E+21",1968,float4
vp_c1_data[124],"-1.77117E+21, 2.91578E-39, 3.96730E-37, 7.97074E+07",1984,float4
vp_c1_data[125],"2.61919E-32, -1.34006E+29, -6.44674E-40, 5.32015E-06",2000,float4
vp_c1_data[126],"-4.83655E+25, 2.73354E-39, 3.63791E-10, -1.34006E+29",2016,float4
vp_c1_data[127],"6.54798E-33, -1.34006E+29, 9.62947E-33, -1.34006E+29",2032,float4
vp_c1_data[128],"-3.32436E+36, 2.92152E-39, 3.67307E-39, 2.52287E+17",2048,float4
vp_c1_data[129],"2.11330E-39, 1.50463E-36, 3.58266E-39, 1.50463E-36",2064,float4
vp_c1_data[130],"-5.31794E+37, 2.92152E-39, 2.43584E-29, 2.47909E+17",2080,float4
vp_c1_data[131],"2.43576E-29, 6.61505E+16, 2.43573E-29, 6.61505E+16",2096,float4
vp_c1_data[132],"-6.65262E+36, 2.91722E-39, 1.09306E-38, 2.43265E+17",2112,float4
vp_c1_data[133],"1.95209E-24, 6.08339E+07, 1.74514E-24, 6.08339E+07",2128,float4
vp_c1_data[134],"-5.31794E+37, 2.91721E-39, 1.68059E-38, 5.66396E+07",2144,float4
vp_c1_data[135],"2.12172E-38, 6.08340E+07, 8.61000E-41, 2.42331E-38",2160,float4
vp_c1_data[136],"-3.32371E+36, 2.91721E-39, 1.77937E-40, 2.42331E-38",2176,float4
vp_c1_data[137],"8.20784E-40, 2.57025E-38, 9.12621E-40, 2.57025E-38",2192,float4
vp_c1_data[138],"nan, 2.92439E-39, 1.97468E-38, 6.08340E+07",2208,float4
vp_c1_data[139],"1.62218E-36, -8.85444E+20, 1.09309E-38, 2.61279E+17",2224,float4
vp_c1_data[140],"-5.31795E+37, 4.80780E-34, 3.62969E-37, 6.08339E+07",2240,float4
vp_c1_data[141],"2.92479E-37, 6.08360E+07, 3.15989E-37, 6.08360E+07",2256,float4
vp_c1_data[142],"nan, 2.91578E-39, 3.39499E-37, 6.08360E+07",2272,float4
vp_c1_data[143],"6.50002E-33, -8.85444E+20, -6.44659E-40, 0.00005",2288,float4
vp_c1_data[144],"-4.25445E+37, 2.60296E-39, 5.05275E-39, 1.71799E+10",2304,float4
